	observed_otus
1939.SKBTI.1138.cropped.filtered.nonchimera.fasta	117
1939.SKBTI.0731.cropped.filtered.nonchimera.fasta	195
1939.SKBTI057.cropped.filtered.nonchimera.fasta	224
1939.SKBTI.0212.cropped.filtered.nonchimera.fasta	116
1939.SKBTI.0274.cropped.filtered.nonchimera.fasta	98
1939.SKBTI.1087.cropped.filtered.nonchimera.fasta	147
1939.SKBTI095.cropped.filtered.nonchimera.fasta	162
1939.SKBTI.0568.cropped.filtered.nonchimera.fasta	98
1939.SKBTI.1254.cropped.filtered.nonchimera.fasta	192
1939.SKBTI.1301.cropped.filtered.nonchimera.fasta	204
1939.SKBTI.0201.cropped.filtered.nonchimera.fasta	149
1939.SKBTI086.cropped.filtered.nonchimera.fasta	130
1939.SKBTI.0244.cropped.filtered.nonchimera.fasta	107
1939.SKBTI.0241.cropped.filtered.nonchimera.fasta	175
1939.SKBTI.0633.cropped.filtered.nonchimera.fasta	162
1939.SKBTI.0929.cropped.filtered.nonchimera.fasta	118
1939.SKBTI.0954.cropped.filtered.nonchimera.fasta	104
1939.SKBTI096.cropped.filtered.nonchimera.fasta	148
1939.SKBTI071.cropped.filtered.nonchimera.fasta	160
1939.SKBTI.0234.cropped.filtered.nonchimera.fasta	134
1939.SKBTI.1033.cropped.filtered.nonchimera.fasta	102
1939.SKBTI.1354.cropped.filtered.nonchimera.fasta	80
1939.SKBTI.0972.cropped.filtered.nonchimera.fasta	184
1939.SKBTI.0567.cropped.filtered.nonchimera.fasta	230
1939.SKBTI.0942.cropped.filtered.nonchimera.fasta	155
1939.SKBTI.0128.cropped.filtered.nonchimera.fasta	165
1939.SKBTI.0662.cropped.filtered.nonchimera.fasta	153
1939.SKBTI.0311.cropped.filtered.nonchimera.fasta	158
1939.SKBTI.0869.cropped.filtered.nonchimera.fasta	122
1939.SKBTI.0674.cropped.filtered.nonchimera.fasta	105
1939.SKBTI.0164.cropped.filtered.nonchimera.fasta	152
1939.SKBTI.1098.cropped.filtered.nonchimera.fasta	163
1939.SKBTI.1322.cropped.filtered.nonchimera.fasta	215
1939.SKBTI.1351.cropped.filtered.nonchimera.fasta	156
1939.SKBTI.0966.cropped.filtered.nonchimera.fasta	116
1939.SKBTI019.cropped.filtered.nonchimera.fasta	173
1939.SKBTI.1296.cropped.filtered.nonchimera.fasta	57
1939.SKBTI.0139.cropped.filtered.nonchimera.fasta	100
1939.SKBTI.0983.cropped.filtered.nonchimera.fasta	167
1939.SKBTI065.cropped.filtered.nonchimera.fasta	170
1939.SKBTI.1209.cropped.filtered.nonchimera.fasta	96
1939.SKBTI.0120.cropped.filtered.nonchimera.fasta	105
1939.SKBTI009.cropped.filtered.nonchimera.fasta	83
1939.SKBTI.1035.cropped.filtered.nonchimera.fasta	130
1939.SKBTI.1342.cropped.filtered.nonchimera.fasta	163
1939.SKBTI.0281.cropped.filtered.nonchimera.fasta	162
1939.SKBTI.0963.cropped.filtered.nonchimera.fasta	149
1939.SKBTI.1048.cropped.filtered.nonchimera.fasta	206
1939.SKBTI.1323.cropped.filtered.nonchimera.fasta	123
1939.SKBTI.0599.cropped.filtered.nonchimera.fasta	213
1939.SKBTI.0916.cropped.filtered.nonchimera.fasta	84
1939.SKBTI.0522.cropped.filtered.nonchimera.fasta	139
1939.SKBTI.0651.cropped.filtered.nonchimera.fasta	155
1939.SKBTI.0934.cropped.filtered.nonchimera.fasta	148
1939.SKBTI.0283.cropped.filtered.nonchimera.fasta	169
1939.SKBTI.1227.cropped.filtered.nonchimera.fasta	214
1939.SKBTI.0913.cropped.filtered.nonchimera.fasta	44
1939.SKBTI052.cropped.filtered.nonchimera.fasta	210
1939.SKBTI.0976.cropped.filtered.nonchimera.fasta	50
1939.SKBTI.1099.cropped.filtered.nonchimera.fasta	89
1939.SKBTI.0560.cropped.filtered.nonchimera.fasta	105
1939.SKBTI.0572.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.0642.cropped.filtered.nonchimera.fasta	54
1939.SKBTI.0536.cropped.filtered.nonchimera.fasta	119
1939.SKBTI.0236.cropped.filtered.nonchimera.fasta	164
1939.SKBTI.0704.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.1066.cropped.filtered.nonchimera.fasta	121
1939.SKBTI070.cropped.filtered.nonchimera.fasta	136
1939.SKBTI.1314.cropped.filtered.nonchimera.fasta	142
1939.SKBTI.0233.cropped.filtered.nonchimera.fasta	127
1939.SKBTI.0541.cropped.filtered.nonchimera.fasta	124
1939.SKBTI.0298.cropped.filtered.nonchimera.fasta	150
1939.SKBTI.1279.cropped.filtered.nonchimera.fasta	113
1939.SKBTI.0985.cropped.filtered.nonchimera.fasta	166
1939.SKBTI.1308.cropped.filtered.nonchimera.fasta	155
1939.SKBTI.0132.cropped.filtered.nonchimera.fasta	121
1939.SKBTI.0580.cropped.filtered.nonchimera.fasta	123
1939.SKBTI.0333.cropped.filtered.nonchimera.fasta	109
1939.SKBTI.0598.cropped.filtered.nonchimera.fasta	119
1939.SKBTI.1057.cropped.filtered.nonchimera.fasta	185
1939.SKBTI.0596.cropped.filtered.nonchimera.fasta	83
1939.SKBTI043.cropped.filtered.nonchimera.fasta	168
1939.SKBTI.0710.cropped.filtered.nonchimera.fasta	114
1939.SKBTI.0927.cropped.filtered.nonchimera.fasta	105
1939.SKBTI023.cropped.filtered.nonchimera.fasta	189
1939.SKBTI.1141.cropped.filtered.nonchimera.fasta	185
1939.SKBTI.1307.cropped.filtered.nonchimera.fasta	173
1939.SKBTI.1174.cropped.filtered.nonchimera.fasta	66
1939.SKBTI.0647.cropped.filtered.nonchimera.fasta	57
1939.SKBTI.0921.cropped.filtered.nonchimera.fasta	73
1939.SKBTI.0931.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.0260.cropped.filtered.nonchimera.fasta	113
1939.SKBTI.0957.cropped.filtered.nonchimera.fasta	134
1939.SKBTI.0550.cropped.filtered.nonchimera.fasta	78
1939.SKBTI.0884.cropped.filtered.nonchimera.fasta	132
1939.SKBTI.0917.cropped.filtered.nonchimera.fasta	125
1939.SKBTI.1255.cropped.filtered.nonchimera.fasta	219
1939.SKBTI.0134.cropped.filtered.nonchimera.fasta	86
1939.SKBTI.0895.cropped.filtered.nonchimera.fasta	132
1939.SKBTI.0944.cropped.filtered.nonchimera.fasta	118
1939.SKBTI.0940.cropped.filtered.nonchimera.fasta	158
1939.SKBTI.0951.cropped.filtered.nonchimera.fasta	143
1939.SKBTI.0868.cropped.filtered.nonchimera.fasta	107
1939.SKBTI.0737.cropped.filtered.nonchimera.fasta	150
1939.SKBTI.0484.cropped.filtered.nonchimera.fasta	131
1939.SKBTI.0947.cropped.filtered.nonchimera.fasta	137
1939.SKBTI027.cropped.filtered.nonchimera.fasta	134
1939.SKBTI.0888.cropped.filtered.nonchimera.fasta	171
1939.SKBTI.1097.cropped.filtered.nonchimera.fasta	161
1939.SKBTI.1239.cropped.filtered.nonchimera.fasta	156
1939.SKBTI.0935.cropped.filtered.nonchimera.fasta	125
1939.SKBTI.0867.cropped.filtered.nonchimera.fasta	121
1939.SKBTI.0250.cropped.filtered.nonchimera.fasta	137
1939.SKBTI.1217.cropped.filtered.nonchimera.fasta	169
1939.SKBTI.0287.cropped.filtered.nonchimera.fasta	121
1939.SKBTI012.cropped.filtered.nonchimera.fasta	230
1939.SKBTI.1293.cropped.filtered.nonchimera.fasta	171
1939.SKBTI.1294.cropped.filtered.nonchimera.fasta	158
1939.SKBTI.0211.cropped.filtered.nonchimera.fasta	161
1939.SKBTI.0865.cropped.filtered.nonchimera.fasta	57
1939.SKBTI014.cropped.filtered.nonchimera.fasta	153
1939.SKBTI.0489.cropped.filtered.nonchimera.fasta	96
1939.SKBTI.0741.cropped.filtered.nonchimera.fasta	124
1939.SKBTI.0885.cropped.filtered.nonchimera.fasta	120
1939.SKBTI.1341.cropped.filtered.nonchimera.fasta	171
1939.SKBTI.0277.cropped.filtered.nonchimera.fasta	121
1939.SKBTI.0171.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.1320.cropped.filtered.nonchimera.fasta	82
1939.SKBTI.0891.cropped.filtered.nonchimera.fasta	76
1939.SKBTI.1235.cropped.filtered.nonchimera.fasta	135
1939.SKBTI.0237.cropped.filtered.nonchimera.fasta	154
1939.SKBTI.0932.cropped.filtered.nonchimera.fasta	54
1939.SKBTI.0544.cropped.filtered.nonchimera.fasta	184
1939.SKBTI.0928.cropped.filtered.nonchimera.fasta	151
1939.SKBTI.0952.cropped.filtered.nonchimera.fasta	157
1939.SKBTI.0617.cropped.filtered.nonchimera.fasta	120
1939.SKBTI.0882.cropped.filtered.nonchimera.fasta	94
1939.SKBTI.0908.cropped.filtered.nonchimera.fasta	147
1939.SKBTI.0910.cropped.filtered.nonchimera.fasta	167
1939.SKBTI.0871.cropped.filtered.nonchimera.fasta	107
1939.SKBTI.1337.cropped.filtered.nonchimera.fasta	89
1939.SKBTI.0925.cropped.filtered.nonchimera.fasta	124
1939.SKBTI020.cropped.filtered.nonchimera.fasta	116
1939.SKBTI.1315.cropped.filtered.nonchimera.fasta	163
1939.SKBTI.0949.cropped.filtered.nonchimera.fasta	151
1939.SKBTI.0239.cropped.filtered.nonchimera.fasta	155
1939.SKBTI.0912.cropped.filtered.nonchimera.fasta	236
1939.SKBTI.0611.cropped.filtered.nonchimera.fasta	188
1939.SKBTI.0866.cropped.filtered.nonchimera.fasta	124
1939.SKBTI.0607.cropped.filtered.nonchimera.fasta	128
1939.SKBTI.0930.cropped.filtered.nonchimera.fasta	172
1939.SKBTI.0922.cropped.filtered.nonchimera.fasta	117
1939.SKBTI054.cropped.filtered.nonchimera.fasta	91
1939.SKBTI.0893.cropped.filtered.nonchimera.fasta	133
1939.SKBTI069.cropped.filtered.nonchimera.fasta	176
1939.SKBTI.1180.cropped.filtered.nonchimera.fasta	128
1939.SKBTI.0937.cropped.filtered.nonchimera.fasta	88
1939.SKBTI.0943.cropped.filtered.nonchimera.fasta	169
1939.SKBTI.0610.cropped.filtered.nonchimera.fasta	89
1939.SKBTI.0508.cropped.filtered.nonchimera.fasta	98
1939.SKBTI.0513.cropped.filtered.nonchimera.fasta	122
1939.SKBTI.0883.cropped.filtered.nonchimera.fasta	113
1939.SKBTI.0716.cropped.filtered.nonchimera.fasta	313
1939.SKBTI.0622.cropped.filtered.nonchimera.fasta	141
1939.SKBTI.0715.cropped.filtered.nonchimera.fasta	152
